data	target	roc_auc_score	pr_auc_score
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P07947	0.7727272727272727	0.28535353535353536
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P07949	0.8225806451612904	0.3333333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08172	0.8535211267605634	0.6981829000388837
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08173	0.9125575279421434	0.6638562695166468
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08183	0.7682198327359617	0.5725769241191606
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08581	0.7272727272727272	0.4772727272727273
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08588	0.9366515837104072	0.8460715754833401
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08659	0.6451612903225806	0.11688311688311688
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08684	0.6365870786516854	0.1354400681841802
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08908	0.9433676559660811	0.6406712291360026
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08912	0.925142857142857	0.5488761917751278
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08913	0.8891156462585035	0.4647941109422363
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P09467	0.9500000000000001	0.75
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P09619	0.888157894736842	0.7976190476190477
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P09917	0.935483870967742	0.6666666666666666
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P0DMS8	0.9527777777777778	0.851010101010101
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P0DTD1	0.8064516129032258	0.5714285714285714
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10275	0.6904761904761906	0.43441295546558706
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10608	0.894878706199461	0.7405913978494623
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10632	0.7282238442822385	0.2723838897650016
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10635	0.7864336852323748	0.3602473822298585
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10721	0.93125	0.8166666666666667
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11229	0.9343453510436432	0.6417804868505403
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11309	0.9125000000000001	0.5769230769230769
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11362	1.0	1.0
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11511	0.8333333333333334	0.6201978375891419
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11712	0.626814952116157	0.1509660187830634
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P12931	0.9137931034482758	0.6428571428571428
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P13569	0.9838709677419355	0.8333333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P13945	0.986111111111111	0.9242424242424242
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14061	0.975	0.8333333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14416	0.9314949201741655	0.6732427216295903
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14607	0.6052631578947368	0.3501354489164087
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14867	0.75	0.2901785714285714
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14902	0.9027777777777777	0.625
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P15121	0.99	0.95
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P15538	0.4545454545454545	0.15595238095238095
