data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Mordred descriptors	Q00653	38 (0.93%)	4062 (416889.47%)	0.0094	GradientBoosting	200	151	28	6	0	300	2	3	8	71	0.9901960784313726	0.5797297297297297	0.8235294117647058	0.4	1.0	0.2	0.9032258064516128	0.4029370629370629	0.2666666666666666	0.9901960784313724	0.818918918918919	0.8985442539129097	0.2182567076192632	0.8235294117647058	0.4025218438252494	12.170669146378836
Mordred descriptors	Q00653	38 (0.93%)	4062 (416889.47%)	0.0094	XGBoost	200	131	28	0	0	306	1	1	9	73	1.0	0.5432432432432432	1.0	0.5	1.0	0.1	1.0	0.306031746031746	0.1666666666666666	1.0	0.8364864864864865	1.0	0.1837139733246397	1.0	0.4589260249554366	18.205593466758728
Mordred descriptors	Q01668	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	134	7	7	1	81	1	0	2	22	0.8977272727272727	0.6666666666666666	0.5	1.0	0.875	0.3333333333333333	0.6363636363636364	0.4133333333333333	0.5	0.8977272727272727	0.8636363636363636	0.6229178176443524	0.5527707983925666	0.4479166666666667	0.5777777777777777	2.9894999225934344
Mordred descriptors	Q01668	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	6	6	0	2	88	0	0	3	22	0.875	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.3333333333333333	0.0	0.875	1.0	0.8563488385776753	0.0	0.7708333333333334	1.0	8.611164315541584
Mordred descriptors	Q01959	63 (1.54%)	4037 (410107.94%)	0.0156	GradientBoosting	200	194	40	70	9	435	9	22	5	103	0.8388563346130531	0.7334285714285714	0.3636363636363636	0.2903225806451613	0.8163265306122449	0.6428571428571429	0.5031446540880503	0.4350793650793651	0.4	0.8388563346130531	0.8222857142857143	0.4823935651072427	0.3375283897587813	0.3130914984963464	0.5782761124594006	14.241319950421651
Mordred descriptors	Q01959	63 (1.54%)	4037 (410107.94%)	0.0156	XGBoost	200	186	48	11	1	494	5	2	9	123	0.978904829258436	0.6705714285714286	0.8135593220338984	0.7142857142857143	0.979591836734694	0.3571428571428571	0.888888888888889	0.4552380952380952	0.4761904761904762	0.978904829258436	0.7794285714285715	0.8816461917421303	0.4694824055574552	0.7987611247154434	0.4835851811870605	29.473063019911447
Mordred descriptors	Q02156	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	56	8	0	0	80	2	1	0	19	1.0	0.975	1.0	0.6666666666666666	1.0	1.0	1.0	0.35	0.8	1.0	0.95	1.0	0.7958224257542214	1.0	0.5833333333333333	1.5156492630640666
Mordred descriptors	Q02156	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	54	8	0	0	80	0	0	2	20	1.0	0.5	1.0	0.0	1.0	0.0	1.0	0.3142857142857143	0.0	1.0	0.975	1.0	0.0	1.0	0.8333333333333333	11.304940605163576
Mordred descriptors	Q02750	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	165	0	0	9	96	0	0	3	24	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.2102564102564102	0.0	0.5	0.5	0.0	0.0	0.0857142857142857	0.1111111111111111	0.6657872756322225
Mordred descriptors	Q02750	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	73	0	0	9	96	0	0	3	24	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.5	0.3472222222222222	0.0	0.0	0.0857142857142857	0.1091617933723196	3.3047420501708986
