data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Physicochemical properties	P49286	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	115	8	2	0	78	0	1	2	19	0.9875	0.475	0.8	0.0	1.0	0.0	0.888888888888889	0.2777777777777778	0.0	0.9875	0.925	0.8831760866327847	-0.0690065559342354	0.8	0.5	8.007109006245932
Physicochemical properties	P49327	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	178	6	8	3	88	2	2	1	22	0.7916666666666666	0.7916666666666666	0.4285714285714285	0.5	0.6666666666666666	0.6666666666666666	0.5217391304347826	0.2666666666666667	0.5714285714285715	0.7916666666666666	0.9166666666666669	0.4803844614152615	0.51604684654214	0.3142857142857143	0.5317460317460317	1.2088847239812217
Physicochemical properties	P49327	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	152	5	10	4	86	1	3	2	21	0.7256944444444444	0.6041666666666666	0.3333333333333333	0.25	0.5555555555555556	0.3333333333333333	0.4166666666666667	0.2571428571428572	0.2857142857142857	0.7256944444444445	0.6666666666666667	0.3611111111111111	0.1843024451936214	0.2232804232804232	0.2103174603174603	3.2225643038749694
Physicochemical properties	P49674	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	85	9	7	0	89	1	4	2	20	0.9635416666666669	0.5833333333333334	0.5625	0.2	1.0	0.3333333333333333	0.72	0.4933333333333333	0.25	0.9635416666666669	0.7916666666666666	0.722138750518209	0.1348399724926484	0.5625	0.5054945054945055	0.5392521897951762
Physicochemical properties	P49674	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	32	9	1	0	95	1	0	2	24	0.9947916666666669	0.6666666666666666	0.9	1.0	1.0	0.3333333333333333	0.9473684210526316	0.4	0.5	0.9947916666666669	0.7222222222222222	0.9437293044088436	0.554700196225229	0.9	0.4841269841269841	14.21900109052658
Physicochemical properties	P49759	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	114	7	18	1	70	2	3	1	19	0.8352272727272727	0.7651515151515151	0.28	0.4	0.875	0.6666666666666666	0.4242424242424242	0.43	0.5	0.8352272727272727	0.6515151515151515	0.4222371975090627	0.4308202184276645	0.2554166666666667	0.3454545454545454	1.9682881156603496
Physicochemical properties	P49759	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	160	1	0	7	88	0	1	3	21	0.5625	0.4772727272727273	1.0	0.0	0.125	0.0	0.2222222222222222	0.256060606060606	0.0	0.5625	0.7424242424242424	0.3402785236893603	-0.0753778361444409	0.1979166666666666	0.2574074074074074	6.700467709700266
Physicochemical properties	P49840	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	180	13	12	0	107	1	3	1	28	0.9495798319327732	0.7016129032258065	0.52	0.25	1.0	0.5	0.6842105263157895	0.3704761904761905	0.3333333333333333	0.9495798319327732	0.7903225806451613	0.6837858036037923	0.2947916441478614	0.52	0.5666666666666667	1.718011498451233
Physicochemical properties	P49840	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	43	9	5	4	114	1	2	1	29	0.8251454427925016	0.717741935483871	0.6428571428571429	0.3333333333333333	0.6923076923076923	0.5	0.6666666666666666	0.2476190476190476	0.4	0.8251454427925016	0.5483870967741935	0.6292856123413488	0.3614486980061245	0.4753579753579754	0.5333333333333333	9.531855062643688
Physicochemical properties	P49841	26 (0.63%)	4074 (423069.23%)	0.0064	GradientBoosting	200	88	21	29	0	178	0	3	5	50	0.929951690821256	0.4716981132075472	0.42	0.0	1.0	0.0	0.5915492957746479	0.4442857142857143	0.0	0.929951690821256	0.6113207547169811	0.600965406899478	-0.0717342149788215	0.42	0.1561406518010291	2.641635318597158
