data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
RDKit 1D descriptors	10031252	147(22.04%)	520 (77.96%)	XGBoost	50	31	80	76	32	345	12	23	23	76	0.7668815744825246	0.5552669552669552	0.5128205128205128	0.3428571428571428	0.7142857142857143	0.3428571428571428	0.5970149253731343	0.3179285411580277	0.3428571428571428	0.7668815744825247	0.5766233766233766	0.4779315179987879	0.1105339105339105	0.4263378897525238	0.3375332680777888	3.790655326843262
RDKit 1D descriptors	10033775	46(6.9%)	621 (93.1%)	XGBoost	50	45	16	7	18	492	1	2	11	120	0.7282800895909466	0.5334699453551912	0.6956521739130435	0.3333333333333333	0.4705882352941176	0.0833333333333333	0.5614035087719297	0.2252525252525252	0.1333333333333333	0.7282800895909467	0.5471311475409836	0.5490839575993863	0.1291990326972971	0.3611368358420944	0.1772955481241834	3.086273221174876
RDKit 1D descriptors	10037833	141(21.14%)	526 (78.86%)	XGBoost	50	35	65	71	51	346	8	20	17	89	0.6950405193086909	0.568256880733945	0.4779411764705882	0.2857142857142857	0.5603448275862069	0.32	0.5158730158730158	0.3202248133456211	0.3018867924528302	0.6950405193086908	0.6557798165137615	0.3692216466374491	0.1308060219796365	0.3634966691276368	0.3646043473987148	2.67567062775294
RDKit 1D descriptors	10050528	78(11.69%)	589 (88.31%)	XGBoost	50	48	42	79	20	392	6	15	10	103	0.7548455585233889	0.6239406779661016	0.3471074380165289	0.2857142857142857	0.6774193548387096	0.375	0.4590163934426229	0.1959715345597698	0.3243243243243243	0.7548455585233887	0.6382415254237289	0.3900965144456039	0.2211036891872614	0.2726607488784729	0.2214057901044189	3.657197904586792
RDKit 1D descriptors	10051592	61(9.15%)	606 (90.85%)	XGBoost	50	11	41	70	12	410	4	31	4	95	0.813875786163522	0.626984126984127	0.3693693693693693	0.1142857142857142	0.7735849056603774	0.5	0.5	0.4028685070954259	0.1860465116279069	0.813875786163522	0.7192460317460317	0.4626245202968329	0.1369802895163412	0.3082526400519958	0.2282058821603629	4.400766551494598
RDKit 1D descriptors	10047295	151(22.64%)	516 (77.36%)	XGBoost	50	44	79	95	45	314	11	26	16	81	0.7024114677813708	0.5822083766009	0.4540229885057471	0.2972972972972973	0.6370967741935484	0.4074074074074074	0.5302013422818792	0.2829681620122796	0.34375	0.7024114677813708	0.6621668397369331	0.3647671819303288	0.1475139558461033	0.3736843487413226	0.3597107238966955	2.526025438308716
RDKit 1D descriptors	10036142	69(10.34%)	598 (89.66%)	XGBoost	50	8	36	49	21	427	5	19	7	103	0.7643188854489165	0.630464480874317	0.4235294117647059	0.2083333333333333	0.631578947368421	0.4166666666666667	0.5070422535211268	0.3293906810035841	0.2777777777777778	0.7643188854489165	0.7472677595628415	0.4462216362236691	0.194308080303429	0.3068918848273979	0.2641289342707232	3.686649958292643
RDKit 1D descriptors	10019070	66(9.9%)	601 (90.1%)	XGBoost	50	21	40	27	11	455	4	10	11	109	0.8641485639899114	0.5913165266106443	0.5970149253731343	0.2857142857142857	0.7843137254901961	0.2666666666666666	0.6779661016949152	0.3611242057798729	0.2758620689655172	0.8641485639899112	0.7518207282913164	0.6462295972822059	0.188253842290106	0.4888848989793335	0.3475056128460054	2.8022369265556337
RDKit 1D descriptors	10038537	45(6.75%)	622 (93.25%)	XGBoost	50	8	29	75	8	421	5	33	3	93	0.8162870531822144	0.6815476190476191	0.2788461538461538	0.131578947368421	0.7837837837837838	0.625	0.4113475177304965	0.195777906304222	0.217391304347826	0.8162870531822145	0.6344246031746031	0.4057026039485712	0.1908637289601705	0.2335644744181329	0.1393997002452884	2.999332578976949
RDKit 1D descriptors	10020765	56(8.4%)	611 (91.6%)	XGBoost	50	35	23	49	19	442	1	12	13	108	0.7239113568034139	0.4857142857142857	0.3194444444444444	0.0769230769230769	0.5476190476190477	0.0714285714285714	0.4035087719298245	0.2065934065934065	0.074074074074074	0.7239113568034138	0.6029761904761904	0.3529838190756846	-0.0295271979251327	0.210581141983581	0.1968752264473993	3.556538327534993
