data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10030154	75(11.24%)	592 (88.76%)	XGBoost	50	46	39	61	20	413	8	15	8	103	0.7661624830150897	0.6864406779661016	0.39	0.3478260869565217	0.6610169491525424	0.5	0.4905660377358489	0.1496581196581196	0.4102564102564102	0.7661624830150898	0.7198093220338984	0.4278071744437818	0.3206610842834886	0.29532006232709	0.2516433592102237	5.847707005341848
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028347	76(11.39%)	591 (88.61%)	XGBoost	50	40	46	24	16	447	3	10	11	110	0.8454900349291145	0.5654761904761905	0.6571428571428571	0.2307692307692307	0.7419354838709677	0.2142857142857142	0.6969696969696969	0.3346574993633817	0.2222222222222222	0.8454900349291145	0.6803571428571429	0.6558919548141925	0.1353329904901917	0.5175763654127147	0.2022344441914824	5.266840573151907
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020823	107(16.04%)	560 (83.96%)	XGBoost	50	8	47	48	36	402	7	16	17	94	0.7297991967871487	0.5731060606060606	0.4947368421052631	0.3043478260869565	0.5662650602409639	0.2916666666666667	0.5280898876404494	0.3139920504357955	0.2978723404255319	0.7297991967871486	0.6299242424242424	0.4354366170211636	0.1486825270353725	0.3476944015818384	0.3752075858073534	5.253865857919057
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10049571	88(13.19%)	579 (86.81%)	XGBoost	50	8	47	76	26	384	1	24	14	95	0.7393091125670042	0.4324929971988795	0.3821138211382114	0.04	0.6438356164383562	0.0666666666666666	0.4795918367346939	0.1660762800417972	0.05	0.7393091125670042	0.4901960784313726	0.3905576003993523	-0.1092734560718487	0.2947989753870141	0.1089851417569309	5.1142273306846615
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10067868	27(4.05%)	640 (95.95%)	XGBoost	50	43	15	14	10	494	0	2	2	130	0.786220472440945	0.4924242424242424	0.5172413793103449	0.0	0.6	0.0	0.5555555555555556	0.2309523809523809	0.0	0.7862204724409451	0.5189393939393939	0.5336030253370315	-0.0151515151515151	0.3291065536650062	0.1745406824146981	5.984547293186187
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10062060	166(24.89%)	501 (75.11%)	XGBoost	50	8	92	88	42	311	13	28	19	74	0.7330078928664946	0.5658700980392157	0.5111111111111111	0.3170731707317073	0.6865671641791045	0.40625	0.5859872611464968	0.3077745399688519	0.3561643835616438	0.7330078928664946	0.6106004901960784	0.4274800681263543	0.1218877268983909	0.4297113556669436	0.3284429849989689	5.567705285549164
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10037423	118(17.69%)	549 (82.31%)	XGBoost	50	43	64	34	30	405	8	17	16	93	0.8017011583385838	0.5893939393939394	0.6530612244897959	0.32	0.6808510638297872	0.3333333333333333	0.6666666666666666	0.2959797065679418	0.3265306122448979	0.8017011583385838	0.6893939393939393	0.5936705339789767	0.1759773534094175	0.5009226076762587	0.3051311552974358	6.008743170897166
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005956	139(20.84%)	528 (79.16%)	XGBoost	50	43	78	9	24	422	8	5	29	92	0.8719121059096493	0.5823349122318194	0.896551724137931	0.6153846153846154	0.7647058823529411	0.2162162162162162	0.8253968253968255	0.250859829825347	0.32	0.8719121059096492	0.6235720256338813	0.791738886613723	0.2487347081276415	0.7306265198710655	0.4646486574597589	5.572307133674622
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001488	71(10.64%)	596 (89.36%)	XGBoost	50	22	48	16	8	461	2	7	13	112	0.9117999401018267	0.5372549019607843	0.75	0.2222222222222222	0.8571428571428571	0.1333333333333333	0.7999999999999999	0.4270238095238096	0.1666666666666666	0.911799940101827	0.7658263305322128	0.7769499971836541	0.0938547526604268	0.6578665237201822	0.2946472895631379	7.623940503597259
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10003285	72(10.79%)	595 (89.21%)	XGBoost	50	11	46	40	17	430	2	16	7	109	0.8225261735900034	0.5471111111111111	0.5348837209302325	0.1111111111111111	0.7301587301587301	0.2222222222222222	0.6174496644295302	0.2889519497668903	0.1481481481481481	0.8225261735900035	0.5146666666666666	0.566123491368969	0.0691614925206206	0.4224449527909539	0.1109792774142297	5.322475504875183
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10017944	50(7.5%)	617 (92.5%)	XGBoost	50	42	25	7	16	485	0	7	9	118	0.7977642276422764	0.472	0.78125	0.0	0.6097560975609756	0.0	0.684931506849315	0.1428571428571428	0.0	0.7977642276422764	0.3697777777777777	0.6680102790134281	-0.0629960628691021	0.506390712945591	0.0580738661513531	5.944180607795715
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10047924	85(12.74%)	582 (87.26%)	XGBoost	50	31	48	13	20	452	2	5	15	112	0.8389626818469323	0.5374560080442433	0.7868852459016393	0.2857142857142857	0.7058823529411765	0.1176470588235294	0.7441860465116278	0.2279999999999999	0.1666666666666666	0.8389626818469325	0.5751633986928104	0.7104391708719527	0.1120515829971895	0.5929718610293438	0.1949428595372324	9.594689619541168
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028330	66(9.9%)	601 (90.1%)	XGBoost	50	33	39	15	8	471	4	2	15	113	0.8994615182558445	0.5965675057208237	0.7222222222222222	0.6666666666666666	0.8297872340425532	0.2105263157894736	0.7722772277227723	0.3950515176830966	0.32	0.8994615182558444	0.7917620137299771	0.7507707962992478	0.3257662737932115	0.6143001610048833	0.519707564386164	6.501833351453145
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10060945	65(9.75%)	602 (90.25%)	XGBoost	50	40	10	0	38	485	0	1	17	116	0.6041666666666666	0.4957264957264957	1.0	0.0	0.2083333333333333	0.0	0.3448275862068966	0.0666666666666666	0.0	0.6041666666666666	0.4072398190045249	0.4395410144434165	-0.0330526062011046	0.2796278924327705	0.1139248256919904	8.8864724000295
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10043994	47(7.05%)	620 (92.95%)	XGBoost	50	46	27	4	5	497	0	3	15	116	0.917882984031936	0.4873949579831932	0.8709677419354839	0.0	0.84375	0.0	0.8571428571428571	0.2323809523809524	0.0	0.917882984031936	0.5350140056022409	0.8482928950306037	-0.0537275613027757	0.7442598952974642	0.140722933758316	4.132593592007955
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029368	54(8.1%)	613 (91.9%)	XGBoost	50	8	34	36	10	453	0	10	10	114	0.8495538204127161	0.4596774193548387	0.4857142857142857	0.0	0.7727272727272727	0.0	0.5964912280701754	0.1718022328548644	0.0	0.849553820412716	0.6048387096774194	0.569620093852439	-0.0806451612903225	0.3940864014034746	0.117733318319233	5.383578316370646
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10053405	88(13.19%)	579 (86.81%)	XGBoost	50	11	44	40	19	430	6	16	19	93	0.8066531577169875	0.546605504587156	0.5238095238095238	0.2727272727272727	0.6984126984126984	0.24	0.5986394557823129	0.2678074673864148	0.2553191489361702	0.8066531577169874	0.6355963302752293	0.5434177587676836	0.0980234788546475	0.4014825025277987	0.3520412333859291	6.02672301530838
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10009192	122(18.29%)	545 (81.71%)	XGBoost	50	42	83	118	22	310	8	41	9	76	0.7573876279483756	0.5600804424333836	0.4129353233830846	0.1632653061224489	0.7904761904761904	0.4705882352941176	0.5424836601307189	0.3249618269263108	0.2424242424242424	0.7573876279483756	0.5862242332830567	0.4224420355750352	0.0830372592908146	0.3676913387142728	0.1603992504870967	6.602380049228668
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018836	50(7.5%)	617 (92.5%)	XGBoost	50	8	17	13	22	481	0	0	11	123	0.7047908232118758	0.5	0.5666666666666667	0.0	0.4358974358974359	0.0	0.4927536231884058	0.0666666666666666	0.0	0.7047908232118759	0.548410938654841	0.4627981833487711	0.0	0.2882843443819053	0.1257533970614198	4.819755844275156
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002383	85(12.74%)	582 (87.26%)	XGBoost	50	43	55	60	17	401	7	25	6	96	0.8168685225355508	0.6659249841068022	0.4782608695652174	0.21875	0.7638888888888888	0.5384615384615384	0.5882352941176472	0.3513630229419703	0.3111111111111111	0.8168685225355506	0.7221869040050858	0.5266095665627378	0.230372728814024	0.3972330985851665	0.263363319986939	7.677433705329895
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10063550	126(18.89%)	541 (81.11%)	XGBoost	50	13	64	30	36	403	8	12	18	96	0.7853579676674365	0.5982905982905983	0.6808510638297872	0.4	0.64	0.3076923076923077	0.6597938144329897	0.2498383993545284	0.3478260869565217	0.7853579676674366	0.6221509971509972	0.5846120465294078	0.218158984069381	0.5032868947347411	0.3077927953353112	5.977755733331045
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10025282	96(14.39%)	571 (85.61%)	XGBoost	50	22	48	56	28	401	5	28	15	86	0.7545203270758953	0.5021929824561404	0.4615384615384615	0.1515151515151515	0.631578947368421	0.25	0.5333333333333333	0.2401362863878076	0.1886792452830188	0.7545203270758953	0.5620614035087719	0.4491299831212251	0.0036275626332163	0.3440308087291399	0.1779783844214788	5.271629480520884
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018286	95(14.24%)	572 (85.76%)	XGBoost	50	43	58	23	20	432	5	9	12	108	0.8465201465201465	0.6085972850678734	0.7160493827160493	0.3571428571428571	0.7435897435897436	0.2941176470588235	0.7295597484276728	0.1934583063994829	0.3225806451612903	0.8465201465201465	0.6018099547511312	0.6823383136954889	0.2363261143433382	0.5699704290490197	0.2406380258106782	6.588826628526052
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10010071	122(18.29%)	545 (81.71%)	XGBoost	50	46	72	42	25	394	7	17	18	92	0.8229688830038778	0.5620183486238532	0.631578947368421	0.2916666666666667	0.7422680412371134	0.28	0.6824644549763033	0.3761737735172271	0.2857142857142857	0.8229688830038778	0.6726605504587156	0.6077995186090709	0.1260176810431846	0.515705183346754	0.3497478402413233	8.019631818930309
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10011831	45(6.75%)	622 (93.25%)	XGBoost	50	0	12	0	19	502	0	0	14	120	0.6935483870967742	0.5	1.0	0.0	0.3870967741935484	0.0	0.5581395348837209	0.0	0.0	0.6935483870967742	0.6071428571428571	0.6107208865253533	0.0	0.4227440537432669	0.2104773851801358	5.766902224222819
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028735	51(7.65%)	616 (92.35%)	XGBoost	50	33	26	4	14	489	1	1	10	122	0.8209432048681542	0.5413895048041389	0.8666666666666667	0.5	0.65	0.0909090909090909	0.7428571428571429	0.2252136752136752	0.1538461538461538	0.8209432048681541	0.6297117516629712	0.7337819358545792	0.1873989533391335	0.5895997498436523	0.1592904460163517	9.249076362450918
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10050637	49(7.35%)	618 (92.65%)	XGBoost	50	8	22	12	16	483	2	2	9	121	0.7773524720893141	0.5827790096082779	0.6470588235294118	0.5	0.5789473684210527	0.1818181818181818	0.6111111111111113	0.0993939393939394	0.2666666666666666	0.7773524720893142	0.5639320029563931	0.5840724253990304	0.2670529920925681	0.4046317648220541	0.2018569887667707	7.351835926373799
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10043089	49(7.35%)	618 (92.65%)	XGBoost	50	33	31	1	10	491	1	0	7	126	0.8770325203252032	0.5625	0.96875	1.0	0.7560975609756098	0.125	0.8493150684931506	0.2163636363636363	0.2222222222222222	0.8770325203252033	0.6279761904761905	0.8458423669419175	0.3441236008058426	0.7512312382739211	0.4029029187490869	5.41318898598353
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040984	81(12.14%)	586 (87.86%)	XGBoost	50	42	28	36	36	433	1	10	16	107	0.6803704690831556	0.4866767219708396	0.4375	0.0909090909090909	0.4375	0.0588235294117647	0.4375	0.1568217513480671	0.0714285714285714	0.6803704690831556	0.4180492709904474	0.3607409381663113	-0.0323079632154835	0.2589484638836773	0.12136934480871	8.127254323164623
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10066758	72(10.79%)	595 (89.21%)	XGBoost	50	31	36	38	25	434	1	15	10	108	0.7548277299249792	0.4844789356984479	0.4864864864864865	0.0625	0.5901639344262295	0.0909090909090909	0.5333333333333332	0.2455316039459261	0.074074074074074	0.7548277299249792	0.5668883961566888	0.4692349965706545	-0.0262784289289872	0.3340110941070557	0.0985199318152535	5.45689164797465
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10035664	101(15.14%)	566 (84.86%)	XGBoost	50	42	51	21	28	433	3	10	19	102	0.7996570568226176	0.523538961038961	0.7083333333333334	0.2307692307692307	0.6455696202531646	0.1363636363636363	0.6754966887417219	0.1271709740300572	0.1714285714285714	0.7996570568226175	0.538961038961039	0.6229874048519211	0.0589214296898297	0.5098113140332962	0.2496078019357608	8.860180262724558
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10034972	80(11.99%)	587 (88.01%)	XGBoost	50	35	46	36	23	428	5	12	6	111	0.7945402298850575	0.6784922394678492	0.5609756097560976	0.2941176470588235	0.6666666666666666	0.4545454545454545	0.6092715231788081	0.3009650123258784	0.3571428571428571	0.7945402298850575	0.754619364375462	0.5481039799451979	0.2944291742090293	0.4171357098186367	0.2920227304464841	6.83471618493398
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10014387	119(17.84%)	548 (82.16%)	XGBoost	50	21	70	86	26	351	13	22	10	89	0.7661851639969488	0.6835095965530749	0.4487179487179487	0.3714285714285714	0.7291666666666666	0.5652173913043478	0.5555555555555556	0.3723303026528832	0.4482758620689655	0.7661851639969488	0.7547982765374069	0.4496319900781765	0.3150377260170378	0.375970658745049	0.3814127056918078	4.8488073746363325
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10085256	31(4.65%)	636 (95.35%)	XGBoost	50	0	4	0	18	511	0	0	9	125	0.5909090909090909	0.5	1.0	0.0	0.1818181818181818	0.0	0.3076923076923077	0.0	0.0	0.5909090909090909	0.5564444444444445	0.419084182251044	0.0	0.2155892887600204	0.1102601078838826	4.826515173912048
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019617	39(5.85%)	628 (94.15%)	XGBoost	50	15	23	5	8	497	1	2	7	124	0.865987662254209	0.5545634920634921	0.8214285714285714	0.3333333333333333	0.7419354838709677	0.125	0.7796610169491526	0.0808080808080808	0.1818181818181818	0.865987662254209	0.7142857142857143	0.7678996004861774	0.174769701273933	0.6244563854713343	0.1968785767895675	4.852725426355998
