data	safety_endpoint	roc_auc_score	pr_auc_score
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028372	0.735014005602241	0.3014486260991792
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10013887	0.6366132723112128	0.2109298699682467
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10012218	0.6200142450142451	0.32226635711898033
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10008882	0.6948215183509301	0.23644011025264236
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019772	0.5454980842911877	0.1504018049166333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021137	0.7224958949096881	0.42223090484155723
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10062352	0.48189209164818925	0.13886912440259122
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005725	0.6157894736842106	0.2823858295138739
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10048780	0.5835579514824798	0.37271172746133047
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10083842	0.6257777777777778	0.14460337792525432
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005287	0.5977328431372548	0.316630974950923
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001052	0.4462705436156763	0.14324025035699767
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10022061	0.5	0.014925373134328358
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10033864	0.7081980519480519	0.3377463199422006
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001949	0.673871582962492	0.2834149193259731
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020869	0.41854838709677417	0.06795295266906982
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10044390	0.634324942791762	0.34502585977729283
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10034539	0.6260107816711591	0.30323516775450554
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061394	0.5435483870967742	0.09621109440840986
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10000081	0.7725806451612903	0.22235838742331232
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046735	0.8160919540229885	0.47480886094345287
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10011078	0.6143119266055045	0.43599156159928243
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10041834	0.6448179271708684	0.26464864026418494
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10047141	0.5348360655737705	0.10212587807031989
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10009657	0.7245762711864406	0.4003512276842333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061593	0.615887380593263	0.31978525202802494
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10013442	0.5237106265143648	0.22190835058825836
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10008118	0.4890710382513661	0.09274813751728987
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10012601	0.6552631578947369	0.21076546621127012
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10033649	0.6700379266750948	0.29532425467227563
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10016581	0.8229166666666666	0.18764680347843848
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10035485	0.5820175438596491	0.18411233124646614
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019211	0.620967741935484	0.1404750839040525
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10054889	0.5689922480620155	0.05993787661044298
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046555	0.7248376623376623	0.4158984607515896
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10008729	0.5194508009153318	0.21945413351637952
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10013916	0.8011009174311926	0.4904851221137428
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10056325	0.7134533898305084	0.22883308522342646
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020524	0.5926605504587157	0.2577583480953509
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10050196	0.4851532567049809	0.17038163320511643
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10003553	0.3674507310870947	0.10062022550754918
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020575	0.5857777777777777	0.12860763000997882
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020100	0.6884933248569614	0.23022316123891276
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10024119	0.6795518207282913	0.2753526859864545
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10011985	0.5980769230769231	0.2946654709098331
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021789	0.5136612021857924	0.128666395176138
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019847	0.5919540229885057	0.19370512994169287
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10016667	0.6757164404223227	0.22315442261716417
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019663	0.625	0.17713101106155632
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10039109	0.5423789173789173	0.25570146326982657
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10048049	0.6038251366120219	0.13886447045608424
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021118	0.6742424242424243	0.09538152610441766
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029148	0.6949009692372524	0.3523604536487726
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10039906	0.7388771186440678	0.24149614186476362
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10067352	0.6631414022718372	0.29713259244713264
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028762	0.7088074167720185	0.30809498953916575
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10042316	0.5787139689578714	0.10804398258963162
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002847	0.5546910755148742	0.1556950268056106
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020679	0.5062845651080945	0.12681981064419423
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10017826	0.726998491704374	0.331980365384751
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10051612	0.611441647597254	0.17703329567150136
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10015296	0.5790322580645162	0.09835889226773141
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10042264	0.6864406779661018	0.2889605033757918
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10024642	0.5089285714285715	0.07640059803706548
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028813	0.6071428571428572	0.08969051771310013
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006473	0.6577868852459017	0.1434112102602391
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002967	0.7641456582633053	0.25297444121244833
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018290	0.5795454545454545	0.20213922837078172
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10038661	0.554233409610984	0.218881786456192
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10022116	0.5911680911680911	0.26456200741182234
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061835	0.625	0.22687348659203113
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061366	0.48672566371681414	0.1819744686397124
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10062190	0.620976116303219	0.3073431991553761
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10042033	0.6492424242424242	0.3307638914297557
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10044055	0.637299771167048	0.2924928387245288
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10049187	0.625	0.23168334858828407
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019075	0.6999608303956131	0.31527096969023394
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10015090	0.6152980877390326	0.1006132661237693
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10022611	0.5942684766214177	0.23300152750129716
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10016256	0.6274634456452639	0.17316015839664067
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040742	0.3675057208237986	0.11713009249766809
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029354	0.630464480874317	0.17776291479484696
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018092	0.6571428571428571	0.18056538437650954
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028164	0.3652173913043478	0.1102749810374225
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10048960	0.7246168582375478	0.46973533460879774
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10052224	0.5983606557377048	0.12346371403826448
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005619	0.5994087213599408	0.15789910716863037
