data	safety_endpoint	roc_auc_score	pr_auc_score
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021137	0.7349753694581281	0.436616158876957
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10062352	0.4959349593495935	0.11090400663153577
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005725	0.6026315789473684	0.23294900331530555
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10048780	0.5825471698113207	0.34125628076731596
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10083842	0.615111111111111	0.129189041955171
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005287	0.5934436274509804	0.315494380113741
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001052	0.45512010113780027	0.14465316155099225
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10022061	0.5	0.014925373134328358
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10033864	0.7305194805194806	0.3430303115938793
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001949	0.7501589319771137	0.3851187384092272
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020869	0.3290322580645161	0.065656841571501
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10044390	0.6228832951945079	0.32421084639466036
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10034539	0.6276954177897575	0.3060082581885868
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061394	0.55	0.08965785685785123
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10000081	0.7088709677419355	0.19546871566440482
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046735	0.80316091954023	0.44494483719143285
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10011078	0.6179816513761467	0.44326296774264
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10041834	0.6717086834733894	0.30925981337950753
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10047141	0.4993169398907104	0.09217135835987705
